Datetime,PowerOut,ArrayPower,Service,DelvrEff,BatSoc,BatDrain,BatPwr,Warn,Month,DayofMonth,DayofYear,AC_Load,DC_Load,Total_Load
2021-08-15 08:00:00-06:00,3.877551020408163,40.257443179469945,1.0,0.0963188596732739,98.72151375532901,29.993447547517476,1300.0831552695254,,8,15,227,0.0,3.5,3.5
2021-08-15 09:00:00-06:00,3.877551020408163,73.9098794216944,1.0,0.052463230230490744,100.0,58.03714441603785,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 10:00:00-06:00,3.877551020408163,101.65446600886823,1.0,0.03814442368001707,100.0,81.15763323868272,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 11:00:00-06:00,3.877551020408163,120.76377596521078,1.0,0.03210856061278835,100.0,97.08205820230151,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 12:00:00-06:00,3.877551020408163,130.45971213840164,1.0,0.029722210457543863,100.0,105.16200501329389,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 13:00:00-06:00,3.877551020408163,130.59693342179082,1.0,0.029690980628808334,100.0,105.27635608278489,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 14:00:00-06:00,3.877551020408163,121.17298965727501,1.0,0.032000126689746666,100.0,97.42306961235502,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 15:00:00-06:00,3.877551020408163,102.32157408829211,1.0,0.037895732693305414,100.0,81.71355663820262,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 16:00:00-06:00,3.877551020408163,74.78608980233987,1.0,0.05184855941334219,100.0,58.76731973324242,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 17:00:00-06:00,3.877551020408163,41.20283973687481,1.0,0.0941088295168626,100.0,30.781278012021527,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 18:00:00-06:00,3.877551020408163,9.923693327521988,1.0,0.39073668365529923,100.0,4.7153226708941745,1320.0,,8,15,227,0.0,3.5,3.5
2021-08-15 19:00:00-06:00,3.877551020408163,0.026411261886225206,1.0,1.0,99.67887160147252,-4.2388948605627546,1314.993615133492,,8,15,227,0.0,3.5,3.5
2021-08-15 20:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.35555375686275,-4.26530612244898,1309.9555988063976,,8,15,227,0.0,3.5,3.5
2021-08-15 21:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.03204519510341,-4.26530612244898,1304.9171315176186,,8,15,227,0.0,3.5,3.5
2021-08-15 22:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.70834495507509,-4.26530612244898,1299.8782110137554,,8,15,227,0.0,3.5,3.5
2021-08-15 23:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.38445206687494,-4.26530612244898,1294.8388350209743,,8,15,227,0.0,3.5,3.5
2021-08-16 00:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.06036555170039,-4.26530612244898,1289.7990012447422,,8,16,228,0.0,3.5,3.5
2021-08-16 01:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.73608442173082,-4.26530612244898,1284.7587073695518,,8,16,228,0.0,3.5,3.5
2021-08-16 02:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.41160768000731,-4.26530612244898,1279.7179510586436,,8,16,228,0.0,3.5,3.5
2021-08-16 03:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.08693432031001,-4.26530612244898,1274.676729953725,,8,16,228,0.0,3.5,3.5
2021-08-16 04:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.76206332703374,-4.26530612244898,1269.635041674681,,8,16,228,0.0,3.5,3.5
2021-08-16 05:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.43699367506099,-4.26530612244898,1264.592883819282,,8,16,228,0.0,3.5,3.5
2021-08-16 06:00:00-06:00,3.877551020408163,0.01089426546016756,1.0,1.0,96.11255511891127,-4.2544118569888125,1259.5631302830388,,8,16,228,0.0,3.5,3.5
2021-08-16 07:00:00-06:00,3.877551020408163,9.377844667228773,1.0,0.41347997946248877,96.43765404333774,4.260448787316495,1264.6031241407782,,8,16,228,0.0,3.5,3.5
2021-08-16 08:00:00-06:00,3.877551020408163,40.51063080736157,1.0,0.09571687587011202,98.74102101537162,30.20443723742716,1300.386751844994,,8,16,228,0.0,3.5,3.5
2021-08-16 09:00:00-06:00,3.877551020408163,74.2672345876837,1.0,0.052210790423738315,100.0,58.33494038769561,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 10:00:00-06:00,3.877551020408163,102.0539371342873,1.0,0.037995114439395926,100.0,81.49052584319861,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 11:00:00-06:00,3.877551020408163,121.16808624783756,1.0,0.03200142166541286,100.0,97.41898343782384,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 12:00:00-06:00,3.877551020408163,130.84657291253703,1.0,0.029634333816293913,100.0,105.48438899174006,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 13:00:00-06:00,3.877551020408163,130.95076084908442,1.0,0.029610755945716785,100.0,105.57121227219622,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 14:00:00-06:00,3.877551020408163,121.4784887731161,1.0,0.031919651450803097,100.0,97.67765220888927,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 15:00:00-06:00,3.877551020408163,102.55886288110588,1.0,0.037808053945599204,100.0,81.91129729888075,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 16:00:00-06:00,3.877551020408163,74.92777839832094,1.0,0.05175051367191017,100.0,58.88539356322664,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 17:00:00-06:00,3.877551020408163,41.21811347958179,1.0,0.09407395664357576,100.0,30.794006130944013,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 18:00:00-06:00,3.877551020408163,9.835221458280603,1.0,0.39425152111277806,100.0,4.64159611319302,1320.0,,8,16,228,0.0,3.5,3.5
2021-08-16 19:00:00-06:00,3.877551020408163,0.016436014591148136,1.0,1.0,99.67811590091986,-4.248870107857831,1314.981836695758,,8,16,228,0.0,3.5,3.5
